"areaCode","age","population"
"E06000019","10_14",10565
"E06000019","15_19",9287
"E06000019","20_24",8611
"E06000019","25_29",10501
"E06000019","30_34",11291
"E06000019","35_39",10906
"E06000019","40_44",10369
"E06000019","45_49",11626
"E06000019","50_54",14134
"E06000019","55_59",14835
"E06000019","60+",61935
"E06000019","60_64",13477
"E06000019","65_69",12844
"E06000019","70_74",13004
"E06000019","75_79",9512
"E06000019","80_84",6635
"E06000019","85_89",4094
"E06000019","90+",2369
"E06000020","00_04",10789
"E06000020","00_59",139681
"E06000020","05_09",12287
"E06000020","10_14",12258
"E06000020","15_19",10389
"E06000020","20_24",10660
"E06000020","25_29",11609
"E06000020","30_34",11523
"E06000020","35_39",12001
"E06000020","40_44",10908
"E06000020","45_49",12063
"E06000020","50_54",13043
"E06000020","55_59",12151
"E06000020","60+",41641
"E06000020","60_64",9902
"E06000020","65_69",9229
"E06000020","70_74",8791
"E06000020","75_79",6220
"E06000020","80_84",4135
"E06000020","85_89",2241
"E06000020","90+",1123
"E06000021","00_04",16391
"E06000021","00_59",198032
"E06000021","05_09",17595
"E06000021","10_14",15676
"E06000021","15_19",14446
"E06000021","20_24",17429
"E06000021","25_29",18393
"E06000021","30_34",18329
"E06000021","35_39",17075
"E06000021","40_44",14266
"E06000021","45_49",15498
"E06000021","50_54",16598
"E06000021","55_59",16336
"E06000021","60+",58590
"E06000021","60_64",14176
"E06000021","65_69",12396
"E06000021","70_74",12265
"E06000021","75_79",8718
"E06000021","80_84",6066
"E06000021","85_89",3339
"E06000021","90+",1630
"E06000022","00_04",9333
"E06000022","00_59",149002
"E06000022","05_09",10628
"E06000022","10_14",10808
"E06000022","15_19",13491
"E06000022","20_24",21013
"E06000022","25_29",15645
"E06000022","30_34",11728
"E06000022","35_39",10196
"E06000022","40_44",10073
"E06000022","45_49",11507
"E06000022","50_54",12291
"E06000022","55_59",12289
"E06000022","60+",47355
"E06000022","60_64",10364
"E06000022","65_69",9253
"E06000022","70_74",9725
"E06000022","75_79",7234
"E06000022","80_84",5336
"E06000022","85_89",3354
"E06000022","90+",2089
"E06000023","00_04",27646
"E06000023","00_59",386598
"E06000023","05_09",28043
"E06000023","10_14",25476
"E06000023","15_19",26168
"E06000023","20_24",52041
"E06000023","25_29",50930
"E06000023","30_34",43695
"E06000023","35_39",33537
"E06000023","40_44",27227
"E06000023","45_49",24609
"E06000023","50_54",24272
"E06000023","55_59",22954
"E06000023","60+",79268
"E06000023","60_64",18994
"E06000023","65_69",16344
"E06000023","70_74",15564
"E06000023","75_79",10987
"E06000023","80_84",8354
"E06000023","85_89",5524
"E06000023","90+",3501
"E06000024","00_04",11087
"E06000024","00_59",150261
"E06000024","05_09",12910
"E06000024","10_14",12807
"E06000024","15_19",10963
"E06000024","20_24",9383
"E06000024","25_29",10322
"E06000024","30_34",11451
"E06000024","35_39",12776
"E06000024","40_44",13048
"E06000024","45_49",14466
"E06000024","50_54",15716
"E06000024","55_59",15332
"E06000024","60+",65313
"E06000024","60_64",13310
"E06000024","65_69",12594
"E06000024","70_74",14136
"E06000024","75_79",10580
"E06000024","80_84",7260
"E06000024","85_89",4671
"E06000024","90+",2762
"E06000025","00_04",16253
"E06000025","00_59",217797
"E06000025","05_09",17402
"E06000025","10_14",17097
"E06000025","15_19",15523
"E06000025","20_24",17546
"E06000025","25_29",18806
"E06000025","30_34",19320
"E06000025","35_39",19422
"E06000025","40_44",17732
"E06000025","45_49",18563
"E06000025","50_54",20617
"E06000025","55_59",19516
"E06000025","60+",70019
"E06000025","60_64",15610
"E06000025","65_69",13567
"E06000025","70_74",14011
"E06000025","75_79",11285
"E06000025","80_84",7929
"E06000025","85_89",4902
"E06000025","90+",2715
"E06000026","00_04",14232
"E06000026","00_59",198764
"E06000026","05_09",16096
"E06000026","10_14",14951
"E06000026","15_19",15102
"E06000026","20_24",22412
"E06000026","25_29",17885
"E06000026","30_34",17251
"E06000026","35_39",17230
"E06000026","40_44",14203
"E06000026","45_49",15429
"E06000026","50_54",17143
"E06000026","55_59",16830
"E06000026","60+",64075
"E06000026","60_64",15115
"E06000026","65_69",12609
"E06000026","70_74",13312
"E06000026","75_79",9496
"E06000026","80_84",6899
"E06000026","85_89",4212
"E06000026","90+",2432
"E06000027","00_04",6414
"E06000027","00_59",89350
"E06000027","05_09",7616
"E06000027","10_14",7282
"E06000027","15_19",6472
"E06000027","20_24",5865
"E06000027","25_29",6694
"E06000027","30_34",6997
"E06000027","35_39",6901
"E06000027","40_44",6570
"E06000027","45_49",8147
"E06000027","50_54",9840
"E06000027","55_59",10552
"E06000027","60+",46868
"E06000027","60_64",9725
"E06000027","65_69",9208
"E06000027","70_74",10065
"E06000027","75_79",7477
"E06000027","80_84",5119
"E06000027","85_89",3279
"E06000027","90+",1995
"E06000028","00_04",10110
"E06000028","00_59",148454
"E06000028","05_09",11415
"E06000028","10_14",10183
"E06000028","15_19",11214
"E06000028","20_24",17620
"E06000028","25_29",12149
"E06000028","30_34",11936
"E06000028","35_39",13992
"E06000028","40_44",12820
"E06000028","45_49",12365
"E06000028","50_54",12420
"E06000028","55_59",12230
"E06000028","60+",46191
"E06000028","60_64",10170
"E06000028","65_69",9085
"E06000028","70_74",9371
"E06000028","75_79",6544
"E06000028","80_84",5033
"E06000028","85_89",3520
"E06000028","90+",2468
"E06000029","00_04",7780
"E06000029","00_59",107751
"E06000029","05_09",8700
"E06000029","10_14",8900
"E06000029","15_19",7893
"E06000029","20_24",7326
"E06000029","25_29",8018
"E06000029","30_34",9058
"E06000029","35_39",9571
"E06000029","40_44",9008
"E06000029","45_49",9819
"E06000029","50_54",10931
"E06000029","55_59",10747
"E06000029","60+",44041
"E06000029","60_64",9097
"E06000029","65_69",8449
"E06000029","70_74",9312
"E06000029","75_79",6736
"E06000029","80_84",5011
"E06000029","85_89",3386
"E06000029","90+",2050
"E06000030","00_04",13815
"E06000030","00_59",173271
"E06000030","05_09",15357
"E06000030","10_14",14133
"E06000030","15_19",11829
"E06000030","20_24",10997
"E06000030","25_29",12785
"E06000030","30_34",14892
"E06000030","35_39",16105
"E06000030","40_44",15087
"E06000030","45_49",16335
"E06000030","50_54",16411
"E06000030","55_59",15525
"E06000030","60+",49610
"E06000030","60_64",12737
"E06000030","65_69",10571
"E06000030","70_74",9765
"E06000030","75_79",6841
"E06000030","80_84",4933
"E06000030","85_89",3059
"E06000030","90+",1704
"E06000031","00_04",14977
"E06000031","00_59",162286
"E06000031","05_09",16497
"E06000031","10_14",14056
"E06000031","15_19",10738
"E06000031","20_24",9923
"E06000031","25_29",12857
"E06000031","30_34",15695
"E06000031","35_39",15739
"E06000031","40_44",13705
"E06000031","45_49",13164
"E06000031","50_54",13079
"E06000031","55_59",11856
"E06000031","60+",40340
"E06000031","60_64",9847
"E06000031","65_69",8609
"E06000031","70_74",8044
"E06000031","75_79",5452
"E06000031","80_84",4159
"E06000031","85_89",2695
"E06000031","90+",1534
"E06000032","00_04",17037
"E06000032","00_59",176959
"E06000032","05_09",17510
"E06000032","10_14",15280
"E06000032","15_19",13056
"E06000032","20_24",12320
"E06000032","25_29",14527
"E06000032","30_34",17612
"E06000032","35_39",17532
"E06000032","40_44",14549
"E06000032","45_49",12945
"E06000032","50_54",12553
"E06000032","55_59",12038
"E06000032","60+",36569
"E06000032","60_64",9597
"E06000032","65_69",7530
"E06000032","70_74",6510
"E06000032","75_79",4788
"E06000032","80_84",4201
"E06000032","85_89",2548
"E06000032","90+",1395
"E06000033","00_04",10781
"E06000033","00_59",136858
"E06000033","05_09",11601
"E06000033","10_14",11437
"E06000033","15_19",9348
"E06000033","20_24",9075
"E06000033","25_29",10174
"E06000033","30_34",11209
"E06000033","35_39",12244
"E06000033","40_44",12538
"E06000033","45_49",13000
"E06000033","50_54",13009
"E06000033","55_59",12442
"E06000033","60+",45915
"E06000033","60_64",10254
"E06000033","65_69",9062
"E06000033","70_74",9527
"E06000033","75_79",6768
"E06000033","80_84",4954
"E06000033","85_89",3217
"E06000033","90+",2133
"E06000034","00_04",13104
"E06000034","00_59",143257
"E06000034","05_09",13530
