"areaCode","population"
"E02001141",12671
"E02001142",5798
"E02001143",11816
"E02001144",6488
"E02001145",7143
"E02001146",9988
"E02001147",10047
"E02001148",10632
"E02001149",10520
"E02001150",9049
"E02001151",10161
"E02001152",9485
"E02001153",11522
"E02001154",10255
"E02001155",7429
"E02001156",9646
"E02001157",8373
"E02001158",6159
"E02001159",6762
"E02001160",7137
"E02001161",5928
"E02001162",6096
"E02001163",9488
"E02001164",7768
"E02001165",5968
"E02001166",7309
"E02001167",7187
"E02001168",9582
"E02001169",10370
"E02001170",9681
"E02001171",5913
"E02001172",15694
"E02001173",8071
"E02001174",5576
"E02001175",7272
"E02001176",11467
"E02001177",13244
"E02001178",15136
"E02001179",6765
"E02001180",6545
"E02001181",6118
"E02001182",6566
"E02001183",6791
"E02001184",15490
"E02001185",9944
"E02001186",10434
"E02001187",7082
"E02001188",8591
"E02001189",8308
"E02001190",7391
"E02001191",5689
"E02001192",7004
"E02001193",6343
"E02001194",6363
"E02001195",7299
"E02001196",7796
"E02001197",6373
"E02001198",7567
"E02001199",7935
"E02001200",7581
"E02001201",5791
"E02001202",6312
"E02001203",5898
"E02001204",9223
"E02001205",8187
"E02001206",7250
"E02001207",6977
"E02001208",7572
"E02001209",7939
"E02001210",7405
"E02001211",6408
"E02001212",7069
"E02001213",10137
"E02001214",7654
"E02001215",5955
"E02001216",7481
"E02001217",6911
"E02001218",5989
"E02001219",5424
"E02001220",5705
"E02001221",5896
"E02001222",6447
"E02001223",6655
"E02001224",5794
"E02001225",7383
"E02001226",7094
"E02001227",5848
"E02001228",5697
"E02001229",10183
"E02001230",5977
"E02001231",7214
"E02001232",8487
"E02001233",7887
"E02001234",7823
"E02001235",7121
"E02001236",5955
"E02001237",7115
"E02001238",7893
"E02001239",9439
"E02001240",6147
"E02001241",10859
"E02001242",6738
"E02001243",8009
"E02001244",5397
"E02001245",8230
"E02001246",7355
"E02001247",6942
"E02001248",11397
"E02001249",6286
"E02001250",6534
"E02001251",5933
"E02001252",7303
"E02001253",4924
"E02001254",5638
"E02001255",6899
"E02001256",10584
"E02001257",9030
"E02001258",7194
"E02001259",11331
"E02001260",7597
"E02001261",8581
"E02001262",8647
"E02001263",8305
"E02001264",8503
"E02001265",8149
"E02001266",7008
"E02001267",7555
"E02001268",6977
"E02001269",8384
"E02001270",8542
"E02001271",6571
"E02001272",8377
"E02001273",10204
"E02001274",8065
"E02001275",8575
"E02001276",8178
"E02001277",9721
"E02001278",8714
"E02001279",8492
"E02001280",8434
"E02001281",7617
"E02001282",10209
"E02001283",9763
"E02001284",8451
"E02001285",8049
"E02001286",8355
"E02001287",5995
"E02001288",7922
"E02001289",10103
"E02001290",6164
"E02001291",7728
"E02001292",8059
"E02001293",6103
"E02001294",7893
"E02001295",7737
"E02001296",9773
"E02001297",6708
"E02001298",8665
"E02001299",8996
"E02001300",8305
"E02001301",9140
"E02001302",7999
"E02001303",8978
"E02001304",12924
"E02001305",8247
"E02001306",7282
"E02001307",11795
"E02001308",6128
"E02001309",8316
"E02001310",9423
"E02001311",8347
"E02001312",8436
"E02001313",8236
"E02001314",8381
"E02001315",8270
"E02001316",6694
"E02001317",8671
"E02001318",7872
"E02001319",7812
"E02001320",7655
"E02001321",8238
"E02001322",7318
"E02001323",7969
"E02001324",8501
"E02001325",7948
"E02001326",7931
"E02001327",8362
"E02001328",10223
"E02001329",7491
"E02001330",9056
"E02001331",10121
"E02001332",7368
"E02001333",8861
"E02001334",5917
"E02001335",8043
"E02001336",7262
"E02001337",5976
"E02001338",5905
"E02001339",6392
"E02001340",9459
"E02001341",7471
"E02001342",7303
"E02001343",7318
"E02001344",5399
"E02001345",5475
"E02001346",7460
"E02001347",7860
"E02001348",6785
"E02001349",7758
"E02001350",8019
"E02001351",8688
"E02001352",7181
"E02001353",7301
"E02001354",7583
"E02001355",6640
"E02001356",8387
"E02001357",7053
"E02001358",7012
"E02001359",5391
"E02001360",8698
"E02001361",7417
"E02001362",7185
"E02001363",7756
"E02001364",5900
"E02001365",9566
"E02001366",9012
"E02001367",9497
"E02001368",6978
"E02001369",8216
"E02001370",7194
"E02001371",7223
"E02001372",5927
"E02001373",9187
"E02001374",9570
"E02001375",6749
"E02001376",9497
"E02001377",16073
"E02001378",7742
"E02001380",7649
"E02001381",9875
"E02001382",6792
"E02001383",9823
"E02001384",11128
"E02001385",10011
"E02001386",7719
"E02001387",7758
"E02001388",8499
"E02001389",6892
"E02001390",9537
"E02001391",5762
"E02001392",6051
"E02001393",7502
"E02001394",9661
"E02001395",6096
"E02001396",7973
"E02001397",7358
"E02001398",7721
"E02001399",7093
"E02001400",6702
"E02001401",7704
"E02001402",9217
"E02001403",6684
"E02001404",7667
"E02001405",9688
"E02001406",7720
"E02001407",5783
"E02001408",5561
"E02001409",10191
"E02001410",5856
"E02001411",5882
"E02001412",9071
"E02001413",9291
"E02001414",5470
"E02001415",6836
"E02001416",6429
"E02001417",7393
"E02001418",6015
"E02001419",7291
"E02001420",11648
"E02001421",10548
"E02001422",6865
"E02001423",6494
"E02001424",14665
"E02001425",10249
"E02001426",5442
"E02001427",10359
"E02001428",5526
"E02001429",6709
"E02001430",6963
"E02001431",7489
"E02001432",9044
"E02001433",7779
"E02001434",7453
"E02001435",8587
"E02001436",8998
"E02001437",9604
"E02001438",7316
"E02001439",6646
"E02001440",5902
"E02001441",6426
"E02001442",6188
"E02001443",5518
"E02001444",5562
"E02001445",6738
"E02001446",6776
"E02001447",5728
"E02001448",6686
"E02001449",9035
"E02001450",8256
"E02001451",6043
"E02001452",6671
"E02001453",8829
"E02001454",6974
"E02001455",7114
"E02001456",7500
"E02001457",6890
"E02001458",7721
"E02001459",7184
"E02001460",7571
"E02001461",6593
"E02001462",7900
"E02001463",7055
"E02001464",7024
"E02001465",7267
"E02001466",8671
"E02001467",7945
"E02001468",7619
"E02001469",7765
"E02001470",8393
"E02001471",7826
"E02001472",7011
"E02001473",7929
"E02001474",7344
"E02001475",6422
"E02001476",7971
"E02001477",7681
"E02001478",8000
"E02001479",6189
"E02001480",7791
"E02001481",8105
"E02001482",8193
"E02001483",7320
"E02001484",8011
"E02001485",6913
"E02001486",8154
"E02001487",9734
"E02001488",8422
"E02001489",8085
"E02001490",8233
"E02001491",6870
"E02001492",7832
"E02001493",8275
"E02001494",7043
"E02001495",7986
"E02001496",6265
"E02001497",8188
"E02001498",7483
"E02001499",6621
"E02001500",7536
"E02001501",8003
"E02001502",9644
"E02001503",7451
"E02001504",7216
"E02001505",6345
"E02001506",8765
"E02001507",7139
"E02001508",8293
"E02001509",6758
"E02001510",6049
"E02001511",6215
"E02001512",8124
"E02001513",7726
"E02001514",7761
"E02001515",9990
"E02001516",6123
"E02001517",8173
"E02001518",10604
"E02001519",8056
"E02001520",11458
"E02001521",12806
"E02001522",9090
"E02001523",7226
"E02001524",6143
"E02001525",7018
"E02001526",6362
"E02001527",6124
"E02001528",10680
"E02001529",9521
"E02001530",6743
"E02001531",7821
"E02001532",10752
"E02001533",7750
"E02001534",9865
"E02001535",6560
"E02001536",8574
"E02001537",8563
"E02001538",8231
"E02001539",6382
"E02001540",11728
"E02001541",11277
"E02001542",7803
"E02001543",8029
"E02001544",8475
"E02001545",8342
"E02001546",9112
"E02001547",10922
"E02001548",8153
"E02001549",6209
"E02001550",7755
"E02001551",6061
"E02001552",7856
"E02001553",10339
"E02001554",6020
"E02001555",5289
"E02001556",9544
"E02001557",10320
"E02001558",6033
"E02001559",7620
"E02001560",13422
"E02001561",6736
"E02001562",5879
"E02001563",8062
"E02001564",7987
"E02001565",7382
"E02001566",9345
"E02001567",8958
"E02001568",6506
"E02001569",8955
"E02001570",7038
"E02001571",6164
"E02001572",7485
"E02001573",7751
"E02001574",6085
"E02001575",7571
"E02001576",6828
"E02001577",6467
"E02001578",11573
"E02001579",9791
"E02001580",8312
"E02001581",5956
"E02001582",7736
"E02001583",5677
"E02001584",6823
"E02001585",6434
"E02001586",7854
"E02001587",5750
"E02001588",7158
"E02001589",7940
