"areaCode","age","population"
"E06000026","10_14",14442
"E06000026","15_19",15012
"E06000026","20_24",22775
"E06000026","25_29",18691
"E06000026","30_34",16955
"E06000026","35_39",16763
"E06000026","40_44",13970
"E06000026","45_49",15924
"E06000026","50_54",17328
"E06000026","55_59",16535
"E06000026","60_64",14549
"E06000026","65_69",12768
"E06000026","70_74",13255
"E06000026","75_79",9220
"E06000026","80_84",6764
"E06000026","85_89",4180
"E06000026","90+",2343
"E06000027","0_4",6733
"E06000027","5_9",7669
"E06000027","10_14",7087
"E06000027","15_19",6437
"E06000027","20_24",6078
"E06000027","25_29",6810
"E06000027","30_34",7116
"E06000027","35_39",6773
"E06000027","40_44",6535
"E06000027","45_49",8635
"E06000027","50_54",9996
"E06000027","55_59",10284
"E06000027","60_64",9499
"E06000027","65_69",9205
"E06000027","70_74",10094
"E06000027","75_79",7086
"E06000027","80_84",5039
"E06000027","85_89",3209
"E06000027","90+",1979
"E06000030","0_4",14152
"E06000030","5_9",15229
"E06000030","10_14",13683
"E06000030","15_19",11798
"E06000030","20_24",10982
"E06000030","25_29",13185
"E06000030","30_34",15382
"E06000030","35_39",16257
"E06000030","40_44",14848
"E06000030","45_49",16573
"E06000030","50_54",16475
"E06000030","55_59",15216
"E06000030","60_64",12254
"E06000030","65_69",10416
"E06000030","70_74",9590
"E06000030","75_79",6573
"E06000030","80_84",4824
"E06000030","85_89",3085
"E06000030","90+",1671
"E06000031","0_4",15470
"E06000031","5_9",16152
"E06000031","10_14",13357
"E06000031","15_19",10857
"E06000031","20_24",10181
"E06000031","25_29",13605
"E06000031","30_34",15973
"E06000031","35_39",15627
"E06000031","40_44",13364
"E06000031","45_49",13134
"E06000031","50_54",13150
"E06000031","55_59",11645
"E06000031","60_64",9693
"E06000031","65_69",8589
"E06000031","70_74",7831
"E06000031","75_79",5342
"E06000031","80_84",4101
"E06000031","85_89",2685
"E06000031","90+",1503
"E06000032","0_4",17208
"E06000032","5_9",17190
"E06000032","10_14",15100
"E06000032","15_19",12722
"E06000032","20_24",12404
"E06000032","25_29",15362
"E06000032","30_34",17974
"E06000032","35_39",17290
"E06000032","40_44",14270
"E06000032","45_49",12861
"E06000032","50_54",12607
"E06000032","55_59",11864
"E06000032","60_64",9259
"E06000032","65_69",7520
"E06000032","70_74",6470
"E06000032","75_79",4815
